stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name
29464,4400876-1,Vilusi,58.88185449,26.95818705,29464,,Lohusuu vald,,6530716.78,670539.12,
29465,4400875-1,Vilusi,58.88180666,26.95832965,29465,,Lohusuu vald,,6530711.82,670547.57,
29466,5100175-1,Kooli,59.04627425,25.88179603,29466,,Järva-Jaani vald,,6546785.07,607992.52,
29467,4400362-1,Lagedi,58.95795794,27.079949,29467,,Lohusuu vald,,6539500.74,677164.75,
29468,5700418-1,Asuküla,58.87114127,23.5409207,29468,,Ridala vald,,6525853.00,473517.59,
29469,5700419-1,Asuküla,58.87096,23.54023999,29469,,Ridala vald,,6525833.07,473478.18,
29470,7801160-1,Väägvere,58.4682727,26.84063489,29470,,Tartu vald,,6484399.50,665716.62,
29471,6700349-1,Kurgja,58.66506776,25.25743627,29471,,Vändra vald,,6503493.03,572962.93,tartu2
29472,7800052-1,Arstipunkt,58.50188679,27.23428307,29472,,Peipsiääre vald,,6489178.92,688484.06,
29474,8200140-1,Karja,57.78262416,26.06238841,29474,,Valga linn,,6406410.04,622680.00,
29475,8200372-1,Mööblivabriku,57.7818006,26.05667466,29475,,Valga linn,,6406307.92,622343.04,
29476,8200285-1,Linnapargi,57.78117341,26.0533073,29476,,Valga linn,,6406231.96,622144.93,
29477,8200286-1,Linnapargi,57.78108382,26.05387541,29477,,Valga linn,,6406223.02,622179.02,
29478,7000544-1,Toomja,59.02345791,25.08242126,29478,,Kaiu vald,,6543230.21,562164.46,Harju5
29479,5700436-1,Pullapää tee,58.91825073,23.47913876,29479,,Ridala vald,,6531126.24,469994.46,Läänelinn
29480,5700438-1,Pullapää tee,58.91805576,23.48055507,29480,,Ridala vald,,6531103.89,470075.88,Läänelinn
29481,5700350-1,Räägu,58.99078,23.70000999,29481,,Lääne-Nigula vald,,6539127.20,482754.32,Harju6
